feature,importance
delay_days,0.20955933904073892
booking_percentage,0.19727607286785745
delay_category,0.1384833845999109
number_of_booked_appartments,0.0951048118168912
days_until_completion,0.06516741543039818
unbooked_apartments,0.04260239236265583
booking_category,0.03945036896227366
has_extension,0.02330561692188944
longitude,0.01942785284467534
area_per_apartment,0.017176070475979476
number_of_appartments,0.016452003119161646
project_area_(sqmts),0.01587498978300826
latitude,0.015066404143471728
number_of_closed_parking,0.014476732838443775
sanctioned_fsi,0.012873077056534869
location_pin_code,0.011996544165114404
number_of_sanctioned_floors,0.0113612979831535
location_cluster,0.008406576035650952
project_size,0.006515526950243819
is_overdue,0.00646743864164318
recreational_open_space,0.006235061727566223
number_of_podiums,0.005047514974344817
cases_count,0.004504203560438844
number_of_basements,0.003935345611367632
project_type,0.0032627422199052415
total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),0.0030092403064910507
number_of_stilts,0.002882430100482383
complaints_count,0.0025371608673568262
number_of_plinth,0.0010820965861580401
promoter_name,0.0004602880061923008
district,0.0
rera_id,0.0
project_name,0.0
area_of_plot(in_sqmts),0.0
number_of_plots_booked_/_alloted_/_sold,0.0
number_of_plots,0.0
